id;titulo;calificacion;anyo_lanzamiento;duracion;genero;director;actores;guion;portada;tipo;productora;web;pataforma
17;Spider-Man;PG-13;3-may-02;121 min;Action, Adventure;Sam Raimi;Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco;When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.;https://images-na.ssl-images-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg;movie;Columbia Pictures;http://spiderman.sonypictures.com/;Amazon Prime Video
18;Coyote Ugly;PG-13;04 Aug 2000;100 min;Comedy, Drama, Musical;David McNally;Piper Perabo, Adam Garcia, John Goodman, Maria Bello;Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NzM1ODg4OF5BMl5BanBnXkFtZTcwMTQ3OTgyMQ@@._V1_SX300.jpg;movie;Buena Vista;http://studio.go.com/movies/coyoteugly/index.html;Netflix
19;The Ant Bully;PG;28-jul-06;88 min;Animation, Adventure, Comedy;John A. Davis;Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti;After Lucas Nickle floods an ant colony with his watergun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2OTYwMzQzNl5BMl5BanBnXkFtZTcwNDM1MjMzMQ@@._V1_SX300.jpg;movie;Warner Bros. Pictures;http://theantbully.warnerbros.com/;Netflix
20;The Bucket List;PG-13;11 Jan 2008;97 min;Adventure, Comedy, Drama;Rob Reiner;Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd;Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2NTUyMjIyNF5BMl5BanBnXkFtZTYwNzYwMDM4._V1_SX300.jpg;movie;Warner Bros. Pictures;http://thebucketlist.warnerbros.com/;Amazon Prime Video
21;The Ghost Writer;PG-13;19-mar-10;128 min;Mystery, Thriller;Roman Polanski;Ewan McGregor, Jon Bernthal, Tim Preece, Jim Belushi;A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_SX300.jpg;movie;Summit Entertainment;http://theghostwriter-movie.com/;Rakuten TV
22;The Interview;R;24 Dec 2014;112 min;Comedy;Evan Goldberg, Seth Rogen;James Franco, Seth Rogen, Lizzy Caplan, Randall Park;"Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North ko_KR dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.";https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMTcwMzgyMV5BMl5BanBnXkFtZTgwMzAyMzQ2MzE@._V1_SX300.jpg;movie;Sony Pictures;http://theinterviewmovie.tumblr.com/;DISNEY +
23;The Bounty Hunter;PG-13;19-mar-10;110 min;Action, Comedy, Romance;Andy Tennant;Gerard Butler, Jennifer Aniston, Gio Perez, Joel Marsh Garland;A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNjY4MjY0MV5BMl5BanBnXkFtZTcwNTA2OTYwMw@@._V1_SX300.jpg;movie;Sony Pictures;http://thepursuitbegins.com/;Netflix
24;Training Day;R;5-oct-01;122 min;Crime, Drama, Thriller;Antoine Fuqua;Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger;On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes beyond a full work day in training within the narcotics division of the LAPD with a rogue detective who isn't what he appears to be.;https://images-na.ssl-images-amazon.com/images/M/MV5BMDZkMTUxYWEtMDY5NS00ZTA5LTg3MTItNTlkZWE1YWRjYjMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;movie;Warner Bros. Pictures;http://trainingday.warnerbros.com;Rakuten TV
25;Unleashed;R;13-may-05;103 min;Action, Crime, Drama;Louis Leterrier;Jet Li, Morgan Freeman, Bob Hoskins, Kerry Condon;A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNjIyNTczMF5BMl5BanBnXkFtZTcwODI5MDkyMQ@@._V1_SX300.jpg;movie;Focus Features;http://unleashedmovie.com/;Amazon Prime Video
26;Wild Wild West;PG-13;30-jun-99;106 min;Action, Comedy, Sci-Fi;Barry Sonnenfeld;Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek;The two best hired guns in the West must save President Grant from the clutches of a nineteenth-century inventor-villain.;https://images-na.ssl-images-amazon.com/images/M/MV5BYmYyMTc4YjItMGNhNC00OWQwLWJhMWUtNTdjZDgxMDI5MjE2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;movie;Warner Bros. Pictures;http://wildwildwest.warnerbros.com;Amazon Prime Video
27;15 Minutes;R;9-mar-01;120 min;Action, Crime, Drama;John Herzfeld;Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks;A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MzQ1MzIwNl5BMl5BanBnXkFtZTYwMTAxODc5._V1_SX300.jpg;movie;New Line Cinema;http://www.15minutesmovie.com;Rakuten TV
28;21 Jump Street;R;16-mar-12;110 min;Action, Comedy, Crime;Phil Lord, Christopher Miller;Jonah Hill, Channing Tatum, Brie Larson, Dave Franco;A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX300.jpg;movie;Sony Pictures;http://www.21jumpstreet-movie.com/site/;DISNEY +
29;8 Mile;R;8-nov-02;110 min;Drama, Musical;Curtis Hanson;Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy;A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.;https://images-na.ssl-images-amazon.com/images/M/MV5BOWI3MDIzZmYtN2Y3MC00YTljLWFiYmYtNWIzMjg1ZWQ1ODlhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg;movie;Universal Pictures;http://www.8-mile.com/;Amazon Prime Video
30;Eight Below;PG;17-feb-06;120 min;Adventure, Drama, Family;Frank Marshall;Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson;Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMjAwNzE0N15BMl5BanBnXkFtZTYwMDY4NDk2._V1_SX300.jpg;movie;Buena Vista Pictures;http://www.8belowmovie.com;Rakuten TV
31;A Knight's Tale;PG-13;11-may-01;132 min;Action, Adventure, Romance;Brian Helgeland;Heath Ledger, Rufus Sewell, Shannyn Sossamon, Paul Bettany;After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5OTE4OTE2Nl5BMl5BanBnXkFtZTYwMDkzMTQ3._V1_SX300.jpg;movie;Columbia Pictures;http://www.aknightstale.com;Amazon Prime Video
32;Aliens in the Attic;PG;31-jul-09;86 min;Animation, Adventure, Comedy;John Schultz;Carter Jenkins, Austin Butler, Ashley Tisdale, Ashley Boettcher;A group of kids must protect their vacation home from invading aliens.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NTMzNTIxNV5BMl5BanBnXkFtZTcwOTI4ODU1Mg@@._V1_SX300.jpg;movie;20th Century Fox;http://www.aliensintheatticmovie.com/;HBO, NETFLIX, RAKUTEN TV
33;Along Came Polly;PG-13;16 Jan 2004;90 min;Comedy, Romance;John Hamburg;Ben Stiller, Jennifer Aniston, Philip Seymour Hoffman, Debra Messing;A buttoned up newlywed finds his too organized life falling into chaos when he falls in love with an old classmate.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMDMwODg3Nl5BMl5BanBnXkFtZTYwMTM4NTY3._V1_SX300.jpg;movie;Universal Pictures;http://www.alongcamepolly.com/;Amazon Prime Video
34;Galaxy Quest;PG;25 Dec 1999;102 min;Adventure, Comedy, Sci-Fi;Dean Parisot;Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub;The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NjM1ODkyMl5BMl5BanBnXkFtZTcwODY0NDMzMg@@._V1_SX300.jpg;movie;DreamWorks SKG;http://www.amazon.com/exec/obidos/subst/video/misc/dreamworks/galaxy-quest/gq-home.html/103-6831095-1845408;Amazon Prime Video
35;American Hustle;R;20 Dec 2013;138 min;Crime, Drama;David O. Russell;Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner;A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.;https://images-na.ssl-images-amazon.com/images/M/MV5BNjkxMTc0MDc4N15BMl5BanBnXkFtZTgwODUyNTI1MDE@._V1_SX300.jpg;movie;Sony Pictures;http://www.americanhustle-movie.com/;HBO, NETFLIX, RAKUTEN TV
36;Babylon A.D.;PG-13;29 Aug 2008;90 min;Action, Adventure, Sci-Fi;Mathieu Kassovitz;Vin Diesel, Michelle Yeoh, Mélanie Thierry, Lambert Wilson;Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MzQxMzk0Nl5BMl5BanBnXkFtZTcwOTM3NDA3MQ@@._V1_SX300.jpg;movie;20th Century Fox;http://www.babylonadmovie.com/;Amazon Prime Video
37;Bangkok Dangerous;R;5-sept-08;99 min;Action, Crime, Thriller;Danny Pang, Oxide Chun Pang;Nicolas Cage, Shahkrit Yamnarm, Charlie Yeung, Panward Hemmanee;A hitman who's in Bangkok to pull off a series of jobs violates his personal code when he falls for a local woman and bonds with his errand boy.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NjU4MDYwNV5BMl5BanBnXkFtZTcwMDQ5ODg3MQ@@._V1_SX300.jpg;movie;Lionsgate;http://www.bangkokdangerousmovie.net/;Rakuten TV
38;The Twilight Saga: Breaking Dawn - Part 2;PG-13;16-nov-12;115 min;Adventure, Drama, Fantasy;Bill Condon;Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli;After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg;movie;Lionsgate/Summit Entertainment;http://www.breakingdawn-themovie.com/;HBO, NETFLIX, RAKUTEN TV
39;Cellular;PG-13;10-sept-04;94 min;Action, Crime, Thriller;David R. Ellis;Caroline Aaron, Kim Basinger, Brenda Ballard, Will Beinbrink;A young man receives an emergency phone call on his cell phone from an older woman. The catch? The woman claims to have been kidnapped, and the kidnappers have targeted her husband and child next.;https://images-na.ssl-images-amazon.com/images/M/MV5BMmRmODc1OGEtYzhjOC00Y2FiLWFhNWUtYTJiYjlhMGU0Njk4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg;movie;New Line Cinema;http://www.cellularthemovie.com;NETFLIX
40;Changing Lanes;R;12 Apr 2002;98 min;Drama, Thriller;Roger Michell;Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette;The story of what happens one day in New York when a young lawyer and a businessman share a small automobile accident on F.D.R. Drive and their mutual road rage escalates into a feud.;https://images-na.ssl-images-amazon.com/images/M/MV5BYjNiMGEwZTAtNDc4Yy00MjcwLWE4ODktNzdkNGEwY2Q0NWIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;movie;Paramount Pictures;http://www.changinglanes.com;Amazon Prime Video
41;Charlie St. Cloud;PG-13;30-jul-10;99 min;Drama, Fantasy, Romance;Burr Steers;Zac Efron, Charlie Tahan, Amanda Crew, Augustus Prew;Charlie's brother, Sam, dies in a car crash that Charlie survives. Charlie is given the gift of seeing his dead brother, but when the girl he falls in love with's life is at risk, he must choose between his girlfriend and his brother.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MjkyNDM2NV5BMl5BanBnXkFtZTcwOTExNDc0Mw@@._V1_SX300.jpg;movie;Universal Pictures;http://www.charliestcloud.com;Rakuten TV
42;Cheaper by the Dozen;PG;25 Dec 2003;98 min;Comedy, Family;Shawn Levy;Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling;With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NzYxMjY0Ml5BMl5BanBnXkFtZTcwOTU0NDczMw@@._V1_SX300.jpg;movie;20th Century Fox;http://www.cheaperbythedozenmovie.com/;Popcornflix
43;Coach Carter;PG-13;14 Jan 2005;136 min;Biography, Drama, Sport;Thomas Carter;Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez;Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.;https://images-na.ssl-images-amazon.com/images/M/MV5BNWYxZWFiNTItN2FkNS00ZDJmLWE1MWItYjMyMTgyOTI4MmQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;movie;Paramount Pictures;http://www.coachcartermovie.com/index2.html;HBO, NETFLIX, RAKUTEN TV
44;Heaven's Gate;R;19-nov-80;325 min;Adventure, Drama, Western;Michael Cimino;Kris Kristofferson, Christopher Walken, John Hurt, Sam Waterston;A dramatization of the real-life Johnson County War in 1890 Wyoming, in which a sheriff born into wealth attempts to protect immigrant farmers from rich cattle interests.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNDE5MzQ5M15BMl5BanBnXkFtZTcwNTk3MTE3NA@@._V1_SX300.jpg;movie;MGM/UA;http://www.criterion.com/films/28036-heaven-s-gate;Amazon Prime Video
45;Scary Movie 2;R;4-jul-01;83 min;Comedy;Keenen Ivory Wayans;Antony Acker, Mark Barrett, Richard Bellos, Suzanne Bianqui;Four teens are tricked by their professor into visiting a haunted house for a school project.;https://images-na.ssl-images-amazon.com/images/M/MV5BMzQxYjU1OTUtYjRiOC00NDg2LWI4MWUtZGU5YzdkYTcwNTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;movie;Dimension Films;http://www.dimensionfilms.com/pls/front_con/dim_movie_page.entryPoint?midStr=1476;DISNEY +
46;Double Jeopardy;R;24-sept-99;105 min;Crime, Drama, Mystery;Bruce Beresford;Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau;A woman framed for her husband's murder suspects he is still alive, as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.;https://images-na.ssl-images-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;movie;Paramount Pictures;http://www.doublejeopardymovie.com;HBO, NETFLIX, RAKUTEN TV
47;Dumb and Dumber To;PG-13;14-nov-14;109 min;Comedy;Bobby Farrelly, Peter Farrelly;Jim Carrey, Jeff Daniels, Rob Riggle, Laurie Holden;Twenty years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzA0MzAyMF5BMl5BanBnXkFtZTgwMjMyNjcwMjE@._V1_SX300.jpg;movie;Universal Pictures;http://www.dumblr.com/;Rakuten TV
48;Exodus: Gods and Kings;PG-13;12 Dec 2014;150 min;Action, Adventure, Drama;Ridley Scott;Christian Bale, Joel Edgerton, John Turturro, Aaron Paul;The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 600,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3MDY0NjkxNl5BMl5BanBnXkFtZTgwNTM3NTA0MzE@._V1_SX300.jpg;movie;20th Century Fox;http://www.exodusgodsandkings.com/;Popcornflix
49;Fat Albert;PG;25 Dec 2004;93 min;Comedy, Family, Fantasy;Joel Zwick;Kenan Thompson, Kyla Pratt, Dania Ramirez, Shedrack Anderson III;Fat Albert and the Cosby Kids come to life and step out of their animated, inner-city Philadelphia world.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzYxMDI2M15BMl5BanBnXkFtZTYwNTAzNTM3._V1_SX300.jpg;movie;20th Century Fox;http://www.fatalbertthemovie.com/;Netflix
50;Fifty Shades of Grey;R;13-feb-15;125 min;Drama, Romance, Thriller;Sam Taylor-Johnson;Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford;Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MTM4NDAzOF5BMl5BanBnXkFtZTgwNTMwNjI0MzE@._V1_SX300.jpg;movie;Focus Features;http://www.fiftyshadesmovie.com/;HBO
51;Final Fantasy: The Spirits Within;PG-13;11-jul-01;106 min;Animation, Action, Adventure;Hironobu Sakaguchi, Motonori Sakakibara;Ming-Na Wen, Alec Baldwin, Ving Rhames, Steve Buscemi;A scientist makes a last stand on Earth with the help of a ragtag team of soldiers against an invasion of alien phantoms.;https://images-na.ssl-images-amazon.com/images/M/MV5BZWRjZTBlMWQtOGU2OS00NTNiLWEyNDUtNDA1NjI3ODE3OTJhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg;movie;Columbia Pictures;http://www.finalfantasy.com;Rakuten TV
52;Foodfight!;PG;12-feb-13;91 min;Animation, Action, Comedy;Lawrence Kasanoff;Charlie Sheen, Hilary Duff, Eva Longoria, Wayne Brady;The evil Brand X joins a supermarket that becomes a city after closing time.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMDY1MDI0NV5BMl5BanBnXkFtZTgwODAyODk3NzE@._V1_SX300.jpg;movie;Lionsgate Films;http://www.foodfight.com/;DISNEY +
